15	84
0	1	10
0	2	12
0	3	17
0	4	2
0	6	9
0	7	99
0	8	5
0	9	45
0	10	28
0	11	48
0	12	42
0	13	20
0	14	84
1	2	44
1	3	33
1	4	23
1	5	63
1	7	49
1	9	54
1	10	48
1	11	85
1	12	93
1	13	15
1	14	76
2	4	59
2	5	75
2	8	1
2	9	4
2	10	22
2	11	15
2	12	21
2	13	28
2	14	20
3	4	3
3	5	67
3	6	70
3	7	53
3	8	90
3	9	49
3	10	8
3	11	45
3	13	76
3	14	89
4	5	59
4	7	4
4	9	81
4	10	56
4	11	2
4	13	32
4	14	63
5	6	79
5	7	65
5	8	71
5	9	3
5	11	64
5	12	20
6	7	82
6	8	39
6	9	26
6	10	21
6	12	17
6	13	40
6	14	99
7	9	86
7	10	22
7	12	40
7	13	74
7	14	17
8	9	11
8	10	10
8	11	61
8	12	14
8	14	6
9	10	78
9	11	59
9	12	47
9	13	82
9	14	54
10	11	65
10	12	68
10	14	73
11	13	100
12	13	61
13	14	20
