n,d,s,bound,time(s)
15,0.2,1,1011.6607242057768,31.728679895401
20,0.5,10,3718.3046023847096,113.04649996757507
20,0.5,4,3359.5880745250342,134.76114583015442
20,0.5,5,3378.459616234951,158.71759295463562
15,0.2,2,751.6738931202309,38.756757974624634
20,0.5,7,3576.06060317746,104.1198742389679
20,0.5,6,3598.3330085784787,130.43773889541626
15,0.2,3,931.5028810088684,31.22079110145569
15,0.2,7,875.1334933078807,20.733624696731567
20,0.8,9,5123.988220149794,137.93719696998596
10,0.2,8,448.9105025474176,2.024538040161133
20,0.5,2,3185.4256925836885,129.53772282600403
20,0.5,3,3397.0418014813217,159.26835894584656
10,0.2,9,429.7426216646726,2.688898801803589
20,0.8,8,5210.8549497955855,152.14757132530212
15,0.2,6,1184.3888063945,38.57282590866089
15,0.2,4,926.8040480007114,33.1706337928772
20,0.5,1,3575.9494189074903,194.676940202713
15,0.2,5,883.1917833873317,63.361886978149414
15,0.8,1,2975.8381946582017,27.66381311416626
10,0.5,5,701.757743204196,3.125598192214966
10,0.5,4,939.085378890136,3.4075746536254883
15,0.5,9,1702.6155648232586,37.448577880859375
15,0.8,2,2632.7506077426406,35.97608399391174
10,0.5,6,1145.504156488978,3.392059087753296
10,0.5,7,947.1712642284517,4.065576791763306
15,0.8,3,2797.932106017733,36.19232106208801
15,0.5,8,1914.2619701825506,29.59393835067749
15,0.8,7,2944.5481983229784,31.45641303062439
10,0.8,8,1506.4943818130043,4.986003875732422
20,0.2,9,1849.4624685040278,200.08581280708313
10,0.5,3,1024.140548109204,3.6084442138671875
20,0.2,10,1689.124256939318,212.66258907318115
10,0.5,2,766.5456246995734,3.6854608058929443
20,0.2,8,1922.6937836893944,161.8788707256317
10,0.8,9,1201.4067634678963,3.0770859718322754
15,0.8,6,2836.2071282382963,31.121168851852417
20,0.8,10,5376.925032516059,136.7696659564972
15,0.8,4,2718.9583801738913,42.659950971603394
10,0.5,1,1004.4843164573965,3.1574809551239014
15,0.8,5,2699.9634901021227,28.003055810928345
15,0.8,8,2878.5867577558524,32.6270170211792
15,0.5,3,1850.814988518326,24.506028175354004
10,0.8,7,1223.2936894382628,3.7274599075317383
20,0.2,6,1875.8850441314187,123.90287590026855
20,0.2,7,1919.3023682763705,160.67419600486755
10,0.8,6,1560.6996183301637,3.797762870788574
15,0.5,2,2039.3415514781595,30.72274088859558
15,0.8,9,2837.210591368305,28.207242965698242
20,0.2,5,1774.5357909744234,119.97898316383362
10,0.8,4,1415.7364492061965,3.604990005493164
10,0.8,5,1136.476233121334,3.9561519622802734
20,0.2,4,1671.35797428267,172.7018392086029
15,0.5,1,2003.5433559688058,40.4829318523407
15,0.5,5,2052.2186290591417,39.28226113319397
10,0.8,1,1277.4355642426365,3.171412944793701
10,0.5,10,975.5781633170618,3.8000428676605225
20,0.2,1,1469.2473069461898,200.3615219593048
15,0.5,4,1849.3338176276443,43.08532786369324
15,0.2,10,935.3411204324718,27.353331327438354
15,0.5,6,2143.7879174446794,27.35981798171997
10,0.5,9,832.2979428657239,3.4501359462738037
10,0.8,2,1185.0810159147,3.9367809295654297
20,0.2,3,1553.098712220406,281.35107612609863
15,0.8,10,3287.1894799748306,41.279852867126465
20,0.2,2,1789.1670494505227,139.14264607429504
10,0.8,3,1450.3059806916099,3.0421838760375977
10,0.5,8,903.5897247781879,3.2844552993774414
15,0.5,7,1991.1209282158013,29.010351181030273
15,0.2,8,894.6617777435719,25.848825931549072
20,0.8,6,5185.823673362311,201.11933422088623
10,0.2,7,401.90876645564555,3.961010217666626
10,0.2,10,531.7255023785066,2.6871159076690674
10,0.2,6,462.9703070677655,3.5637378692626953
20,0.8,7,5004.859311205154,121.3874990940094
15,0.5,10,2311.448725493571,45.90870714187622
15,0.2,9,1022.9951299640509,32.31529974937439
10,0.2,4,496.9036156529638,3.157236099243164
20,0.8,5,4890.69865875037,126.26726007461548
20,0.8,4,4832.150023669703,112.47329092025757
10,0.2,5,589.8006791264881,3.69722318649292
10,0.8,10,1400.9016252915178,2.954200029373169
10,0.2,1,280.0058803247564,3.7381949424743652
20,0.8,1,5243.886693411988,104.0237877368927
20,0.5,8,3544.990839764884,152.4432179927826
20,0.8,3,5115.654082311464,192.51086497306824
10,0.2,2,237.52333817242894,3.0055019855499268
10,0.2,3,374.6269172693728,3.660937786102295
20,0.8,2,4846.563845775208,175.09495973587036
20,0.5,9,3537.0594140216986,168.98113703727722
