n,d,s,stopTemp,tempLength,coolRate,cMax,solution,Soltime(s),Runtime(s)
15,0.2,1,1,1000,0.99,-10,954.0,0.007971048355102539,3.8841259479522705
20,0.5,10,1,1000,0.99,-10,3488.0,0.18313002586364746,7.615740060806274
20,0.5,4,1,1000,0.99,-10,3243.0,0.11754202842712402,7.152009010314941
20,0.5,5,1,1000,0.99,-10,3156.0,0.07878398895263672,8.299865007400513
15,0.2,2,1,1000,0.99,-10,649.0,0.0009579658508300781,3.778265953063965
20,0.5,7,1,1000,0.99,-10,3349.0,0.34009718894958496,7.476878881454468
20,0.5,6,1,1000,0.99,-10,3242.0,0.13359808921813965,7.216478109359741
15,0.2,3,1,1000,0.99,-10,887.0,0.022364139556884766,4.101639270782471
15,0.2,7,1,1000,0.99,-10,874.0,0,3.946169853210449
20,0.8,9,1,1000,0.99,-10,4851.0,0.1446371078491211,9.471978902816772
10,0.2,8,1,1000,0.99,-10,445.0,0.0005829334259033203,3.1415538787841797
20,0.5,2,1,1000,0.99,-10,3082.0,0.3077671527862549,7.313827037811279
20,0.5,3,1,1000,0.99,-10,3247.0,0.24751615524291992,7.060879945755005
10,0.2,9,1,1000,0.99,-10,349.0,0.0004448890686035156,3.0855801105499268
20,0.8,8,1,1000,0.99,-10,4962.0,0.19000697135925293,9.719746112823486
15,0.2,6,1,1000,0.99,-10,1091.0,0.04967904090881348,4.202487945556641
15,0.2,4,1,1000,0.99,-10,911.0,0.009862184524536133,4.075314998626709
20,0.5,1,1,1000,0.99,-10,3431.0,0.012345075607299805,8.116404056549072
15,0.2,5,1,1000,0.99,-10,768.0,0.024605989456176758,4.229553937911987
15,0.8,1,1,1000,0.99,-10,2717.0,0.015429258346557617,8.23956823348999
10,0.5,5,1,1000,0.99,-10,681.0,0.0006430149078369141,4.5068371295928955
10,0.5,4,1,1000,0.99,-10,640.0,0.0009150505065917969,4.608283996582031
15,0.5,9,1,1000,0.99,-10,1665.0,0.05629396438598633,6.249042987823486
15,0.8,2,1,1000,0.99,-10,2422.0,0.016691923141479492,7.1863648891448975
10,0.5,6,1,1000,0.99,-10,868.0,0.0014710426330566406,4.091069936752319
10,0.5,7,1,1000,0.99,-10,945.0,0,4.711393117904663
15,0.8,3,1,1000,0.99,-10,2550.0,0.026389122009277344,7.219964265823364
15,0.5,8,1,1000,0.99,-10,1622.0,0.012525081634521484,5.9092772006988525
15,0.8,7,1,1000,0.99,-10,2510.0,0.010693073272705078,7.698560953140259
10,0.8,8,1,1000,0.99,-10,1395.0,0.0011751651763916016,5.291424036026001
20,0.2,9,1,1000,0.99,-10,1629.0,0.15854620933532715,5.470568895339966
10,0.5,3,1,1000,0.99,-10,990.0,0.003515958786010742,4.198957920074463
20,0.2,10,1,1000,0.99,-10,1565.0,0.08063411712646484,5.212087154388428
10,0.5,2,1,1000,0.99,-10,725.0,0.0018587112426757812,4.259526968002319
20,0.2,8,1,1000,0.99,-10,1840.0,0.2797529697418213,5.186016082763672
10,0.8,9,1,1000,0.99,-10,1108.0,0,5.0151989459991455
15,0.8,6,1,1000,0.99,-10,2759.0,0.006719112396240234,6.975197076797485
