n,d,s,best,bound,gap,time(s)
15,0.2,1,1002.0,1002.0,0.0,0.022397994995117188
20,0.5,10,3577.0,3577.0,0.0,0.126082181930542
20,0.5,4,3256.0,3256.0,0.0,0.060971975326538086
20,0.5,5,3261.0,3261.0,0.0,0.07312893867492676
15,0.2,2,752.0,752.0,0.0,0.0076138973236083984
20,0.5,7,3432.0,3432.0,0.0,0.09793400764465332
20,0.5,6,3450.0,3450.0,0.0,0.052599191665649414
15,0.2,3,923.0,923.0,0.0,0.0067598819732666016
15,0.2,7,874.0,874.0,0.0,0.009478092193603516
20,0.8,9,4985.0,4985.0,0.0,1.362523078918457
10,0.2,8,445.0,445.0,0.0,0.0055010318756103516
20,0.5,2,3122.0,3122.0,0.0,0.0625460147857666
20,0.5,3,3371.0,3371.0,0.0,0.04309797286987305
10,0.2,9,430.0,430.0,0.0,0.00421595573425293
20,0.8,8,5091.0,5091.0,0.0,0.8288099765777588
15,0.2,6,1185.0,1185.0,0.0,0.006348133087158203
15,0.2,4,925.0,925.0,0.0,0.006745100021362305
20,0.5,1,3500.0,3500.0,0.0,0.07481813430786133
15,0.2,5,880.0,880.0,0.0,0.008594989776611328
15,0.8,1,2897.0,2897.0,0.0,0.1525270938873291
10,0.5,5,681.0,681.0,0.0,0.007659196853637695
10,0.5,4,926.0,926.0,0.0,0.009083032608032227
15,0.5,9,1665.0,1665.0,0.0,0.028033018112182617
15,0.8,2,2582.0,2582.0,0.0,0.05293011665344238
10,0.5,6,1096.0,1096.0,0.0,0.008310794830322266
10,0.5,7,945.0,945.0,0.0,0.008369922637939453
15,0.8,3,2730.0,2730.0,0.0,0.12023091316223145
15,0.5,8,1847.0,1847.0,0.0,0.02516913414001465
15,0.8,7,2937.0,2937.0,0.0,0.04986906051635742
10,0.8,8,1486.0,1486.0,0.0,0.016144990921020508
20,0.2,9,1797.0,1797.0,0.0,0.013677120208740234
10,0.5,3,1021.0,1021.0,0.0,0.009504079818725586
20,0.2,10,1684.0,1684.0,0.0,0.009992122650146484
10,0.5,2,763.0,763.0,0.0,0.00763702392578125
20,0.2,8,1919.0,1919.0,0.0,0.010272026062011719
10,0.8,9,1192.0,1192.0,0.0,0.012893915176391602
15,0.8,6,2759.0,2759.0,0.0,0.14832186698913574
20,0.8,10,5283.0,5283.0,0.0,0.5729639530181885
15,0.8,4,2630.0,2630.0,0.0,0.1354231834411621
10,0.5,1,996.0,996.0,0.0,0.009523868560791016
15,0.8,5,2638.0,2638.0,0.0,0.12063407897949219
15,0.8,8,2850.0,2850.0,0.0,0.06214094161987305
15,0.5,3,1814.0,1814.0,0.0,0.022260189056396484
10,0.8,7,1224.0,1224.0,0.0,0.010551929473876953
20,0.2,6,1846.0,1846.0,0.0,0.010251998901367188
20,0.2,7,1889.0,1889.0,0.0,0.01069188117980957
10,0.8,6,1555.0,1555.0,0.0,0.014568090438842773
15,0.5,2,2011.0,2011.0,0.0,0.015711069107055664
15,0.8,9,2822.0,2822.0,0.0,0.048002004623413086
20,0.2,5,1739.0,1739.0,0.0,0.011343002319335938
10,0.8,4,1406.0,1406.0,0.0,0.02024388313293457
10,0.8,5,1104.0,1104.0,0.0,0.018379926681518555
20,0.2,4,1663.0,1663.0,0.0,0.010153055191040039
15,0.5,1,1950.0,1950.0,0.0,0.02420520782470703
15,0.5,5,2009.0,2009.0,0.0,0.013123035430908203
100,0.2,1,35625.0,36153.0,0.014821052631578947,600.0072228908539
10,0.8,1,1226.0,1226.0,0.0,0.013936996459960938
10,0.5,10,944.0,944.0,0.0,0.009042978286743164
20,0.2,1,1438.0,1438.0,0.0,0.011754035949707031
15,0.5,4,1778.0,1778.0,0.0,0.025046110153198242
15,0.2,10,913.0,913.0,0.0,0.008611202239990234
15,0.5,6,2094.0,2094.0,0.0,0.02443385124206543
10,0.5,9,817.0,817.0,0.0,0.008317947387695312
10,0.8,2,1158.0,1158.0,0.0,0.017091989517211914
20,0.2,3,1520.0,1520.0,0.0,0.013115167617797852
15,0.8,10,3280.0,3280.0,0.0,0.04474210739135742
20,0.2,2,1728.0,1728.0,0.0,0.013872861862182617
10,0.8,3,1430.0,1430.0,0.0,0.01770782470703125
10,0.5,8,880.0,880.0,0.0,0.007734060287475586
15,0.5,7,1923.0,1923.0,0.0,0.030045032501220703
15,0.2,8,887.0,887.0,0.0,0.006867885589599609
20,0.8,6,5127.0,5127.0,0.0,0.2860591411590576
10,0.2,7,402.0,402.0,0.0,0.0058481693267822266
10,0.2,10,532.0,532.0,0.0,0.005288124084472656
10,0.2,6,463.0,463.0,0.0,0.006617069244384766
20,0.8,7,4952.0,4952.0,0.0,2.057173013687134
15,0.5,10,2291.0,2291.0,0.0,0.0158541202545166
15,0.2,9,1011.0,1011.0,0.0,0.008275985717773438
10,0.2,4,497.0,497.0,0.0,0.005290031433105469
20,0.8,5,4720.0,4720.0,0.0,0.4938230514526367
20,0.8,4,4659.0,4659.0,0.0,1.6686370372772217
10,0.2,5,590.0,590.0,0.0,0.0077631473541259766
10,0.8,10,1361.0,1361.0,0.0,0.01576709747314453
10,0.2,1,280.0,280.0,0.0,0.004876852035522461
20,0.8,1,5132.0,5132.0,0.0,0.7606058120727539
20,0.5,8,3493.0,3493.0,0.0,0.044220924377441406
20,0.8,3,5023.0,5023.0,0.0,0.6605820655822754
10,0.2,2,235.0,235.0,0.0,0.0064198970794677734
50,0.8,1,28592.0,31244.0,0.09275321768326805,600.0065941810608
10,0.2,3,362.0,362.0,0.0,0.006762027740478516
20,0.8,2,4728.0,4728.0,0.0,0.43329310417175293
20,0.5,9,3407.0,3407.0,0.0,0.08924579620361328
